,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,cond_excellent,cond_good,cond_likenew,cylind6,agesq,agecu,odometersq
13,chicago,chicago city,2003 toyota camry,Missing,4 cylinders,Missing,gas,11.9,,,automatic,Missing,0,3800,8.2427559,2003,15,2.4765384,0,0,0,0,0,0,0,225,3375,141.61
14,chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,16.7,,,automatic,Missing,0,2950,7.9895606,2004,14,2.8154087,0,1,0,1,0,0,0,196,2744,278.89
15,chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,12.0451,grey,full-size,automatic,sedan,0,4200,8.3428402,2005,13,2.488658,1,0,0,1,0,0,1,169,2197,145.08443401
17,chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,11.62693023681641,silver,full-size,automatic,sedan,0,4500,8.4118328,2007,11,2.4533241,0,0,0,0,1,0,0,121,1331,135.1855067317957
18,chicago,chicago city,2007 Toyota camry,Missing,Missing,Missing,gas,11.62693023681641,,,automatic,Missing,0,4000,8.2940493,2007,11,2.4533241,0,0,0,0,0,0,0,121,1331,135.1855067317957
19,chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,10.2,grey,mid-size,automatic,Missing,0,6000,8.6995144,2007,11,2.3223877,0,0,1,1,0,0,0,121,1331,104.03999999999999
20,chicago,chicago city,2007 toyota camry xle,Missing,Missing,Missing,gas,11.62693023681641,,,automatic,Missing,0,5999,8.6993484,2007,11,2.4533241,0,1,0,0,0,0,0,121,1331,135.1855067317957
21,chicago,chicago city,2008 toyota camry,Missing,4 cylinders,fwd,gas,6.58,,,automatic,Missing,0,7700,8.9489756,2008,10,1.8840348,0,0,0,0,0,0,0,100,1000,43.2964
22,chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,11.33,grey,mid-size,automatic,sedan,0,7200,8.8818359,2009,9,2.427454,0,0,1,1,0,0,0,81,729,128.3689
23,chicago,chicago city,2009 toyota camry xle,excellent,Missing,Missing,gas,16.45036315917969,,,automatic,Missing,0,6400,8.7640533,2009,9,2.8003476,0,1,0,1,0,0,0,81,729,270.6144480688964
25,chicago,chicago city,2010 toyota camry le,Missing,Missing,Missing,gas,14.66399955749512,,,automatic,Missing,0,2000,7.6009026,2010,8,2.6853955,1,0,0,0,0,0,0,64,512,215.0328830222171
26,chicago,chicago city,2013 toyota camry,excellent,4 cylinders,Missing,gas,21.3,white,compact,automatic,sedan,0,7000,8.8536654,2013,5,3.058707,0,0,0,1,0,0,0,25,125,453.69000000000005
27,chicago,chicago city,2014 Toyota Camry XLE,like new,4 cylinders,fwd,gas,4.1539,silver,mid-size,automatic,sedan,0,14900,9.6091166,2014,4,1.4240477,0,1,0,0,0,1,0,16,64,17.25488521
28,chicago,chicago city,2009 Toyota Camry,like new,6 cylinders,fwd,gas,16.45036315917969,,,automatic,sedan,0,2000,7.6009026,2009,9,2.8003476,0,0,0,0,0,1,1,81,729,270.6144480688964
29,chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,14.66399955749512,black,full-size,automatic,sedan,0,3030,8.0163183,2010,8,2.6853955,0,1,0,1,0,0,1,64,512,215.0328830222171
30,chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,Missing,gas,13.0756,grey,,automatic,sedan,0,3100,8.0391569,2004,14,2.5707479,0,0,0,1,0,0,0,196,2744,170.97131536
32,chicago,chicago city,2002 toyota camry le,like new,6 cylinders,Missing,gas,12.1,grey,,automatic,sedan,0,3600,8.1886892,2002,16,2.4932055,1,0,0,0,0,1,1,256,4096,146.41
33,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3750,8.2295113,2002,16,2.8559299,1,0,0,0,1,0,0,256,4096,302.43296835999996
34,chicago,chicago N,2005 toyota camry,good,4 cylinders,fwd,gas,12.3,,,automatic,sedan,0,4400,8.3893595,2005,13,2.5095992,0,0,0,0,1,0,0,169,2197,151.29000000000002
35,chicago,chicago N,2011 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,15.6,black,full-size,automatic,sedan,0,6300,8.7483053,2011,7,2.7472708,0,0,1,1,0,0,0,49,343,243.35999999999999
36,chicago,chicago N,1998 Toyota Camry LE,good,Missing,Missing,gas,17.5626,brown,mid-size,automatic,sedan,0,1700,7.4383836,1998,20,2.8657715,1,0,0,0,1,0,0,400,8000,308.44491876
38,chicago,chicago suburbs,1997 Toyota Camry,Missing,Missing,Missing,gas,18.7007999420166,,,automatic,Missing,0,850,6.7452364,1997,21,2.9285662,0,0,0,0,0,0,0,441,9261,349.7199184713281
39,chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,20.2,,full-size,automatic,sedan,0,2000,7.6009026,2000,18,3.0056827,0,0,0,0,1,0,0,324,5832,408.03999999999996
40,chicago,chicago suburbs,2001 toyota camry,like new,Missing,Missing,gas,16.4,,,automatic,Missing,0,2250,7.7186856,2001,17,2.7972813,0,0,0,0,0,1,0,289,4913,268.96
41,chicago,chicago suburbs,2006 Toyota Camry Solara,good,4 cylinders,fwd,gas,18.5,blue,mid-size,automatic,coupe,0,2500,7.8240461,2006,12,2.9177706,0,0,0,0,1,0,0,144,1728,342.25
43,chicago,chicago suburbs,2010 toyota camry le,excellent,4 cylinders,fwd,gas,14.66399955749512,silver,mid-size,automatic,sedan,0,7500,8.922658,2010,8,2.6853955,1,0,0,1,0,0,0,64,512,215.0328830222171
44,chicago,chicago suburbs,2012 TOYOTA CAMRY,good,4 cylinders,fwd,gas,7.5294,red,,automatic,Missing,0,10590,9.2676659,2012,6,2.0188153,0,0,0,0,1,0,0,36,216,56.69186436
45,chicago,chicago suburbs,2002 toyota camry Le,excellent,4 cylinders,fwd,gas,10.5,silver,,automatic,sedan,0,2800,7.9373746,2002,16,2.3513753,0,0,0,1,0,0,0,256,4096,110.25
46,chicago,chicago suburbs,2002 toyota camry,excellent,4 cylinders,fwd,gas,10.5,silver,,automatic,Missing,0,2800,7.9373746,2002,16,2.3513753,0,0,0,1,0,0,0,256,4096,110.25
49,chicago,chicago suburbs,1998 Toyota Camry LX,excellent,6 cylinders,fwd,gas,15.88,brown,compact,automatic,sedan,0,1850,7.5229411,1998,20,2.7650604,0,0,0,1,0,0,1,400,8000,252.17440000000002
50,chicago,chicago suburbs,1998 Toyota Camry LX,good,6 cylinders,fwd,gas,15.88,brown,compact,automatic,sedan,0,1850,7.5229411,1998,20,2.7650604,0,0,0,0,1,0,1,400,8000,252.17440000000002
51,chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,10.9,black,full-size,automatic,sedan,0,6500,8.7795572,2008,10,2.3887627,1,0,0,1,0,0,0,100,1000,118.81
52,chicago,indiana NW,2005 Toyota Camry XLE,good,6 cylinders,fwd,gas,16.5,silver,mid-size,automatic,Missing,0,2400,7.7832241,2005,13,2.8033605,0,1,0,0,1,0,1,169,2197,272.25
53,chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,15.8,grey,full-size,automatic,sedan,0,3950,8.2814713,2005,13,2.76001,1,0,0,0,1,0,0,169,2197,249.64000000000001
54,chicago,chicago S,1997 toyota camry,excellent,6 cylinders,4wd,gas,10.148,,,automatic,sedan,1,3985,8.2902927,1997,21,2.3172767,0,0,0,1,0,0,1,441,9261,102.981904
55,chicago,chicago S,1999 toyota camry,Missing,Missing,Missing,gas,17.01991844177246,,,automatic,Missing,0,2000,7.6009026,1999,19,2.8343844,0,0,0,0,0,0,0,361,6859,289.6776237645863
56,chicago,chicago S,2000 toyota camry xle,excellent,6 cylinders,fwd,gas,16.7,black,compact,automatic,sedan,0,1400,7.2442274,2000,18,2.8154087,0,1,0,1,0,0,1,324,5832,278.89
57,chicago,chicago S,2001 Toyota Camry,Missing,Missing,Missing,gas,11.3159,,,automatic,Missing,0,3980,8.2890368,2001,17,2.4262087,0,0,0,0,0,0,0,289,4913,128.04959280999998
59,chicago,chicago S,2011 toyota camry,Missing,Missing,Missing,gas,10.32304763793945,,,automatic,Missing,0,6500,8.7795572,2011,7,2.334379,0,0,0,0,0,0,0,49,343,106.56531253516725
60,chicago,chicago S,2008 toyota camry,Missing,Missing,Missing,gas,12.54811191558838,red,,automatic,Missing,0,8900,9.0938063,2008,10,2.5295701,0,0,0,0,0,0,0,100,1000,157.4551126461311
61,chicago,chicago S,1999 Toyota camry,Missing,Missing,Missing,gas,17.01991844177246,,,automatic,Missing,0,2000,7.6009026,1999,19,2.8343844,0,0,0,0,0,0,0,361,6859,289.6776237645863
62,chicago,chicago W,2000 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,16.6457,grey,mid-size,automatic,sedan,1,2400,7.7832241,2000,18,2.8121519,0,0,0,1,0,0,0,324,5832,277.07932849
63,chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,13.2572,silver,full-size,automatic,sedan,1,5999,8.6993484,2009,9,2.5845408,1,0,0,0,0,1,0,81,729,175.75335183999997
64,chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,9.0653,green,full-size,automatic,sedan,1,9300,9.1377697,2011,7,2.2044539,0,1,0,1,0,0,1,49,343,82.17966409000002
66,chicago,chicago W,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,6.2628,grey,mid-size,automatic,sedan,1,10500,9.2591305,2013,5,1.8346274,0,0,0,1,0,0,0,25,125,39.22266384
67,chicago,chicago W,2016 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,5.2482,black,mid-size,automatic,sedan,1,12900,9.464983,2016,2,1.6578852,0,0,0,1,0,0,0,4,8,27.543603239999996
68,chicago,chicago W,2004 Toyota camry,Missing,Missing,Missing,gas,15.40804576873779,,,automatic,Missing,0,3300,8.1016779,2004,14,2.7348897,0,0,0,0,0,0,0,196,2744,237.4078744115185
69,chicago,chicago W,2004 toyota camry le 4dr sedan,excellent,4 cylinders,fwd,gas,10.5,silver,mid-size,automatic,sedan,0,4400,8.3893595,2004,14,2.3513753,1,0,1,1,0,0,0,196,2744,110.25
70,chicago,chicago W,2010 TOYOTA CAMRY,Missing,Missing,Missing,gas,14.66399955749512,,,automatic,Missing,0,2074,7.6372342,2010,8,2.6853955,0,0,0,0,0,0,0,64,512,215.0328830222171
71,chicago,chicago W,2000 TOYOTA CAMRY,Missing,4 cylinders,Missing,gas,16.83345794677734,,,automatic,Missing,0,800,6.6846118,2000,18,2.8233685,0,0,0,0,0,0,0,324,5832,283.3653064459212
72,chicago,chicago W,2002 Toyota Camry Solara,excellent,Missing,Missing,gas,7.7734,,,automatic,Missing,0,5985,8.6970119,2002,16,2.0507076,0,0,0,1,0,0,0,256,4096,60.42574756
73,chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,13.8,silver,,automatic,sedan,0,5300,8.5754623,2002,16,2.6246686,0,1,0,1,0,0,0,256,4096,190.44000000000003
74,chicago,chicago W,2003 Toyota Camry,good,4 cylinders,fwd,gas,21.8,grey,,automatic,Missing,0,2700,7.9010072,2003,15,3.0819099,0,0,0,0,1,0,0,225,3375,475.24
75,chicago,chicago W,2004 toyota camry solara,good,6 cylinders,fwd,gas,16.8,red,compact,automatic,coupe,0,3600,8.1886892,2004,14,2.8213789,0,0,0,0,1,0,1,196,2744,282.24
76,chicago,chicago W,2008 toyota camry,excellent,4 cylinders,fwd,gas,17.7,grey,,automatic,sedan,0,5250,8.5659838,2008,10,2.8735647,0,0,0,1,0,0,0,100,1000,313.28999999999996
77,chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,12.85,black,,automatic,sedan,0,6750,8.8172979,2009,9,2.5533438,0,0,0,1,0,0,0,81,729,165.1225
79,chicago,chicago W,2012 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,10.5,white,full-size,automatic,sedan,0,9995,9.2098398,2012,6,2.3513753,0,0,1,1,0,0,0,36,216,110.25
80,chicago,chicago W,1994 Toyota Camry,Missing,Missing,Missing,gas,13.8,,,automatic,Missing,0,1300,7.1701198,1994,24,2.6246686,0,0,0,0,0,0,0,576,13824,190.44000000000003
81,chicago,chicago W,2010 TOYOTA CAMRY,Missing,Missing,Missing,gas,14.66399955749512,,,automatic,Missing,0,2071,7.635787,2010,8,2.6853955,0,0,0,0,0,0,0,64,512,215.0328830222171
82,chicago,chicago W,1993 toyota camry,good,6 cylinders,fwd,gas,15.1,,,automatic,Missing,0,1300,7.1701198,1993,25,2.7146947,0,0,0,0,1,0,1,625,15625,228.01
83,chicago,chicago S,1999 TOYOTA CAMRY,Missing,4 cylinders,Missing,gas,13.9745,white,,automatic,sedan,1,2799,7.9370174,1999,19,2.6372342,0,0,0,0,0,0,0,361,6859,195.28665025000004
84,chicago,chicago N,1997 Toyota Camry,Missing,Missing,Missing,gas,18.7007999420166,,,automatic,Missing,0,2800,7.9373746,1997,21,2.9285662,0,0,0,0,0,0,0,441,9261,349.7199184713281
85,chicago,chicago city,1993 Toyota Camry,Missing,Missing,Missing,gas,21.91666603088379,,,automatic,Missing,0,2200,7.6962128,1993,25,3.0872474,0,0,0,0,0,0,0,625,15625,480.3402499092954
86,chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,12.85,black,,automatic,sedan,0,7250,8.8887568,2009,9,2.5533438,0,0,0,1,0,0,0,81,729,165.1225
87,chicago,indiana NW,2017 Toyota Camry SE,Missing,Missing,Missing,gas,1.872816681861877,,,automatic,Missing,1,16900,9.7350693,2017,1,0.62744355,0,0,1,0,0,0,0,1,1,3.507442323860131
88,chicago,indiana NW,1998 1998 TOYOTA CAMRY,Missing,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1600,7.377759,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.0556843147824
90,chicago,chicago W,2001 toyota camry,good,4 cylinders,fwd,gas,14.6,silver,mid-size,automatic,sedan,0,2200,7.6962128,2001,17,2.6810215,0,0,0,0,1,0,0,289,4913,213.16
91,chicago,chicago N,1993 Toyota Camry XLE V6,Missing,Missing,Missing,gas,21.91666603088379,black,,automatic,sedan,0,2700,7.9010072,1993,25,3.0872474,0,1,0,0,0,0,0,625,15625,480.3402499092954
93,chicago,chicago city,1998 toyota camry,Missing,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1600,7.377759,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.0556843147824
95,chicago,chicago city,2007 toyota camry,Missing,6 cylinders,fwd,gas,11.62693023681641,grey,full-size,automatic,Missing,0,1500,7.3132205,2007,11,2.4533241,0,0,0,0,0,0,1,121,1331,135.1855067317957
96,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3550,8.1747026,2002,16,2.8559299,1,0,0,0,1,0,0,256,4096,302.43296835999996
97,chicago,chicago city,2004 TOYOTA CAMRY LE,excellent,4 cylinders,fwd,gas,11.9,white,,automatic,sedan,0,3200,8.0709057,2004,14,2.4765384,1,0,0,1,0,0,0,196,2744,141.61
98,chicago,chicago W,2002 toyota camry,good,6 cylinders,fwd,gas,17.5,green,mid-size,automatic,sedan,0,3200,8.0709057,2002,16,2.862201,0,0,0,0,1,0,1,256,4096,306.25
99,chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,6.0215,grey,,automatic,Missing,0,14000,9.546813,2015,3,1.7953364,1,0,0,0,1,0,0,9,27,36.258462249999994
100,chicago,indiana NW,2007 Toyota Camry,good,Missing,Missing,gas,13.0,,,automatic,Missing,0,5800,8.6656132,2007,11,2.5649493,0,0,0,0,1,0,0,121,1331,169.0
101,chicago,chicago suburbs,2003 TOYOTA CAMRY LE,Missing,Missing,Missing,gas,6.5756,,,automatic,Missing,0,6929,8.8434706,2003,15,1.8833659,1,0,0,0,0,0,0,225,3375,43.238515359999994
102,chicago,chicago W,2000 toyota camry solara,Missing,Missing,Missing,gas,16.83345794677734,,,automatic,Missing,0,1900,7.5496092,2000,18,2.8233685,0,0,0,0,0,0,0,324,5832,283.3653064459212
103,chicago,chicago N,1993 Toyota Camry XLE V6,Missing,Missing,Missing,gas,21.91666603088379,,,automatic,Missing,0,2700,7.9010072,1993,25,3.0872474,0,1,0,0,0,0,0,625,15625,480.3402499092954
104,chicago,chicago N,1993 Toyota Camry,Missing,Missing,Missing,gas,21.91666603088379,,,automatic,Missing,0,2200,7.6962128,1993,25,3.0872474,0,0,0,0,0,0,0,625,15625,480.3402499092954
105,chicago,indiana NW,2011 Toyota Camry,Missing,Missing,Missing,gas,10.32304763793945,,,automatic,Missing,0,8300,9.0240107,2011,7,2.334379,0,0,0,0,0,0,0,49,343,106.56531253516725
106,chicago,chicago city,2008 Toyota camry,Missing,Missing,Missing,gas,8.5,,,automatic,Missing,0,7700,8.9489756,2008,10,2.1400661,0,0,0,0,0,0,0,100,1000,72.25
107,chicago,chicago city,2011 Toyota Camry,Missing,Missing,Missing,gas,10.32304763793945,,,automatic,Missing,0,8300,9.0240107,2011,7,2.334379,0,0,0,0,0,0,0,49,343,106.56531253516725
108,chicago,chicago S,2017 toyota camry,excellent,4 cylinders,4wd,gas,0.2319,,,automatic,sedan,1,18495,9.8252554,2017,1,-1.461449,0,0,0,1,0,0,0,1,1,0.053777609999999997
109,chicago,chicago S,2010 TOYOTA CAMRY,Missing,Missing,Missing,gas,14.66399955749512,,,automatic,Missing,0,2069,7.6348205,2010,8,2.6853955,0,0,0,0,0,0,0,64,512,215.0328830222171
110,chicago,chicago N,2005 toyota camry,excellent,4 cylinders,fwd,gas,12.3,,full-size,automatic,sedan,0,4400,8.3893595,2005,13,2.5095992,0,0,0,1,0,0,0,169,2197,151.29000000000002
111,chicago,chicago city,2004 Toyota Camry,good,4 cylinders,Missing,gas,13.6559,black,,automatic,sedan,0,3900,8.2687321,2004,14,2.6141717,0,0,0,0,1,0,0,196,2744,186.48360481000003
113,chicago,chicago N,2002 toyota camry solara convertible,good,6 cylinders,Missing,gas,10.3245,,,automatic,Missing,0,4500,8.4118328,2002,16,2.3345196,0,0,0,0,1,0,1,256,4096,106.59530025000001
114,chicago,chicago S,2007 toyota camry solara,excellent,4 cylinders,fwd,gas,15.9,silver,,automatic,coupe,0,4500,8.4118328,2007,11,2.766319,0,0,0,1,0,0,0,121,1331,252.81
116,chicago,chicago city,1998 toyota camry,Missing,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1500,7.3132205,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.0556843147824
117,chicago,chicago W,2015 Toyota Camry,Missing,4 cylinders,fwd,gas,4.96,white,,automatic,sedan,1,14491,9.5812826,2015,3,1.6014057,0,0,0,0,0,0,0,9,27,24.6016
118,chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,15.8,grey,full-size,automatic,sedan,0,3700,8.2160883,2005,13,2.76001,1,0,0,0,1,0,0,169,2197,249.64000000000001
119,chicago,indiana NW,2004 Toyota camry,Missing,Missing,Missing,gas,15.40804576873779,,,automatic,Missing,0,1500,7.3132205,2004,14,2.7348897,0,0,0,0,0,0,0,196,2744,237.4078744115185
121,chicago,chicago suburbs,2009 Toyota Camry,Missing,4 cylinders,fwd,gas,11.8068,black,mid-size,automatic,sedan,1,6499,8.7794037,2009,9,2.4686756,0,0,0,0,0,0,0,81,729,139.40052624000003
122,chicago,chicago city,2007 toyota camry le,excellent,4 cylinders,fwd,gas,11.62693023681641,blue,mid-size,automatic,Missing,1,9995,9.2098398,2007,11,2.4533241,1,0,0,1,0,0,0,121,1331,135.1855067317957
123,chicago,chicago suburbs,2012 Toyota Camry,Missing,4 cylinders,fwd,gas,8.0504,silver,mid-size,automatic,sedan,1,11386,9.3401394,2012,6,2.0857217,0,0,0,0,0,0,0,36,216,64.80894015999999
124,chicago,chicago W,2015 Toyota Camry,Missing,4 cylinders,fwd,gas,6.1448,black,mid-size,automatic,sedan,1,13906,9.5400753,2015,3,1.8156062,0,0,0,0,0,0,0,9,27,37.75856704
125,chicago,chicago S,2006 toyota camry solara convertible,excellent,6 cylinders,fwd,gas,14.0,silver,mid-size,automatic,convertible,0,4950,8.507143,2006,12,2.6390574,0,0,0,1,0,0,1,144,1728,196.0
126,chicago,chicago W,2007 toyota camry le,excellent,4 cylinders,fwd,gas,14.55,yellow,,automatic,sedan,0,5390,8.5923004,2007,11,2.6775911,1,0,0,1,0,0,0,121,1331,211.70250000000001
127,chicago,chicago city,1998 toyota camry,good,Missing,fwd,gas,16.82425880432129,green,full-size,automatic,sedan,1,1800,7.495542,1998,20,2.8228219,0,0,0,0,1,0,0,400,8000,283.0556843147824
128,chicago,chicago suburbs,2009 Toyota Camry SE,good,4 cylinders,fwd,gas,12.4,red,mid-size,automatic,sedan,0,6995,8.852951,2009,9,2.5176964,0,0,1,0,1,0,0,81,729,153.76000000000002
130,chicago,chicago city,2005 toyota camry le,good,4 cylinders,fwd,gas,12.1,silver,full-size,automatic,sedan,0,6000,8.6995144,2005,13,2.4932055,1,0,0,0,1,0,0,169,2197,146.41
131,chicago,chicago S,2014 toyota camry,excellent,4 cylinders,4wd,gas,3.9298,white,,automatic,sedan,1,13995,9.5464554,2014,4,1.3685886,0,0,0,1,0,0,0,16,64,15.44332804
132,chicago,chicago city,2008 Toyota_ Camry_ Solara_,excellent,6 cylinders,fwd,gas,15.5386,black,sub-compact,automatic,convertible,1,4900,8.4969902,2008,10,2.7433271,0,0,0,1,0,0,1,100,1000,241.44808996000003
133,chicago,chicago W,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,11.5515,silver,mid-size,automatic,sedan,1,6490,8.778018,2007,11,2.4468153,0,0,0,1,0,0,0,121,1331,133.43715225000003
134,chicago,chicago city,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,6.3,silver,mid-size,automatic,sedan,1,12500,9.4334841,2013,5,1.8405496,0,0,0,1,0,0,0,25,125,39.69
135,chicago,chicago suburbs,2004 toyota camry,Missing,Missing,Missing,gas,13.4333,,,automatic,sedan,1,5500,8.6125031,2004,14,2.5977366,0,0,0,0,0,0,0,196,2744,180.45354888999998
136,chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,10.9,black,full-size,automatic,sedan,0,6000,8.6995144,2008,10,2.3887627,1,0,0,1,0,0,0,100,1000,118.81
137,chicago,chicago S,2013 toyota camry se,good,4 cylinders,Missing,gas,7.6,silver,,automatic,Missing,0,12000,9.392662,2013,5,2.0281482,0,0,1,0,1,0,0,25,125,57.76
138,chicago,chicago suburbs,2002 toyota camry,good,6 cylinders,fwd,gas,16.2,red,,automatic,convertible,0,3499,8.1602325,2002,16,2.7850113,0,0,0,0,1,0,1,256,4096,262.44
139,chicago,chicago suburbs,1999 toyota camry le,good,6 cylinders,Missing,gas,16.3,,,automatic,Missing,0,1000,6.9077554,1999,19,2.7911651,1,0,0,0,1,0,1,361,6859,265.69
140,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3500,8.1605186,2002,16,2.8559299,1,0,0,0,1,0,0,256,4096,302.43296835999996
142,chicago,chicago city,2002 2002 Toyota camry,Missing,Missing,Missing,gas,14.32672119140625,,,automatic,Missing,0,3900,8.2687321,2002,16,2.6621263,0,0,0,0,0,0,0,256,4096,205.25494009628892
143,chicago,chicago S,2003 toyota camry,excellent,4 cylinders,fwd,gas,17.0,grey,mid-size,automatic,Missing,0,2800,7.9373746,2003,15,2.8332133,0,0,0,1,0,0,0,225,3375,289.0
144,chicago,chicago W,2010 toyota camry le,excellent,4 cylinders,fwd,gas,14.4,,,automatic,Missing,0,5800,8.6656132,2010,8,2.6672282,1,0,0,1,0,0,0,64,512,207.36
145,chicago,chicago W,2004 Toyota Camry le,like new,4 cylinders,fwd,gas,12.7,blue,mid-size,automatic,sedan,0,3300,8.1016779,2004,14,2.5416019,1,0,0,0,0,1,0,196,2744,161.29
146,chicago,chicago N,2001 Toyota Camry,good,4 cylinders,fwd,gas,13.9,silver,,automatic,Missing,0,1099,7.0021558,2001,17,2.6318889,0,0,0,0,1,0,0,289,4913,193.21
147,chicago,chicago suburbs,2001 Toyota Camry.,good,4 cylinders,fwd,gas,11.5,silver,full-size,automatic,sedan,0,2499,7.8236461,2001,17,2.442347,0,0,0,0,1,0,0,289,4913,132.25
148,chicago,chicago city,2010 TOYOTA CAMRY,Missing,Missing,fwd,gas,8.14,blue,,automatic,sedan,1,7999,8.987072,2010,8,2.0967901,0,0,0,0,0,0,0,64,512,66.2596
151,chicago,chicago city,2002 Toyota Camry LE Sedan,excellent,4 cylinders,fwd,gas,16.9435,grey,mid-size,automatic,sedan,0,3900,8.2687321,2002,16,2.8298843,1,0,0,1,0,0,0,256,4096,287.08219225
152,chicago,chicago N,2005 Toyota Camry,excellent,4 cylinders,fwd,gas,14.8987,red,mid-size,automatic,sedan,1,5495,8.6115942,2005,13,2.7012739,0,0,0,1,0,0,0,169,2197,221.97126169
153,chicago,chicago S,2003 Toyota Camry LE,Missing,Missing,fwd,gas,16.5533,silver,,automatic,sedan,1,2995,8.0046997,2003,15,2.8065856,1,0,0,0,0,0,0,225,3375,274.01174089
